PK,LOT,DATE CREATED,CLIENT,PROJECT,Date Sent,AVID,NOTES
PL49,160617_NashvilleKit_Soul,1/4/2017,CINEFLIX NY,Nashville Kitchen (Development),,HBIN_1612,
PL50,160622_AP8_29_Madmen Military,1/4/2017,CINEFLIX NY,American Pickers,06/22/2016,HBIN_1615,
PL51,160627_MurderCalls_04,1/4/2017,Jupiter Films,Murder Calls (etc.),6/17/2016,HBIN_1616,
PL52,160627_TheDeed_04,1/4/2017,Cineflix CANADA,The Deed,,HBIN_1616,
PL53,160711_AP8_30,1/4/2017,CINEFLIX NY,American Pickers,07/11/2016,HBIN_1617,
PL54,160712_MurderCalls_05,1/5/2017,Jupiter Films,Murder Calls (etc.),7/12/2016,HBIN_1618,
PL55,160712_TheDeed_05,1/5/2017,Cineflix CANADA,The Deed,,HBIN_1618,
PL56,160725_AP8_31,1/5/2017,CINEFLIX NY,American Pickers,07/25/2016,HBIN_1619,
PL58,160726_MurderCalls_06,1/5/2017,Jupiter Films,Murder Calls (etc.),,HBIN_1620,
PL61,160729_AP8_32,1/6/2017,CINEFLIX NY,American Pickers,07/29/2016,HBIN_1621,
PL62,160804_AP8_33,1/6/2017,CINEFLIX NY,American Pickers,08/04/2016,HBIN_1622,
PL63,160805_MurderCalls_07,1/6/2017,Jupiter Films,Murder Calls (etc.),,HBIN_1623,
PL129,160808_AP8_34 JINGS,1/12/2017,CINEFLIX NY,American Pickers,08/08/2016,HBIN_1624,
PL65,160815_AP8_35,1/6/2017,CINEFLIX NY,American Pickers,08/15/2016,HBIN_1625,
PL60,160815_TheDeed_06,1/5/2017,Cineflix CANADA,The Deed,,HBIN_1620,
PL64,160815_TheDEED_07,1/6/2017,Cineflix CANADA,The Deed,,HBIN_1623,
PL66,160822_AP8_36,1/6/2017,CINEFLIX NY,American Pickers,08/22/2016,HBIN_1626,
PL67,160826_MurderCalls_08,1/6/2017,Jupiter Films,Murder Calls (etc.),,HBIN_1627,
PL68,160826_TheDEED_08,1/6/2017,Cineflix CANADA,The Deed,,HBIN_1627,
PL69,160829_AP8_37,1/6/2017,CINEFLIX NY,American Pickers,08/29/2016,HBIN_1628,
PL70,160830_AP8_38,1/6/2017,CINEFLIX NY,American Pickers,08/30/2016,HBIN_1630,
PL71,160907_AP8_39,1/6/2017,CINEFLIX NY,American Pickers,09/07/2016,HBIN_1631,
PL73,160908_AP8_40,1/6/2017,CINEFLIX NY,American Pickers,09/08/2016,HBIN_1632,
