action,collision_sku,title,composer,correct_sku
MOVE,S33a1161,"Another Sunny Day",S33a,S33a11612
KEEP,S33a1171,"I Like It",S33a,S33a1171
MOVE,S33a1171,"Strange Ways",S33a,S33a11712
KEEP,S33a1181,"Links",S33a,S33a1181
MOVE,S33a1181,"The Land",S33a,S33a11812
KEEP,S33a1191,"Maps",S33a,S33a1191
MOVE,S33a1191,"Seven Doors",S33a,S33a11912
KEEP,S33a1201,"Pictures",S33a,S33a1201
MOVE,S33a1201,"Take The Wheel",S33a,S33a12013
KEEP,S33a1211,"Small Chamber",S33a,S33a1211
MOVE,S33a1211,"The Pursuit",S33a,S33a12113
KEEP,S33a1221,"Bricks",S33a,S33a1221
MOVE,S33a1221,"Hard Mode",S33a,S33a12213
KEEP,S33a1231,"Clear",S33a,S33a1231
MOVE,S33a1231,"Dance Dress",S33a,S33a12313
KEEP,S33a1241,"Envelopes",S33a,S33a1241
MOVE,S33a1241,"Ice Dance",S33a,S33a12413
KEEP,S33a1251,"Hang Around",S33a,S33a1251
MOVE,S33a1251,"Running Machines",S33a,S33a12513
KEEP,S33a1261,"Lets Talk",S33a,S33a1261
MOVE,S33a1261,"Night Dream",S33a,S33a12613
KEEP,S33a1271,"Market",S33a,S33a1271
MOVE,S33a1271,"Soft Souls",S33a,S33a12713
KEEP,S33a1281,"Open Season",S33a,S33a1281
MOVE,S33a1281,"New Journey",S33a,S33a12813
KEEP,S33a1291,"Projects",S33a,S33a1291
MOVE,S33a1291,"All Coming Back",S33a,S33a12913
KEEP,S33a1301,"Rivers",S33a,S33a1301
MOVE,S33a1301,"Heavy Parking",S33a,S33a13013
KEEP,S33a1311,"Rockers",S33a,S33a1311
MOVE,S33a1311,"Child Memories",S33a,S33a13113
KEEP,S33a1321,"Somewhere",S33a,S33a1321
MOVE,S33a1321,"Good News Bad News",S33a,S33a13213
KEEP,S33a1331,"Steps",S33a,S33a1331
MOVE,S33a1331,"The Ranger",S33a,S33a13313
KEEP,S33a1341,"Travels",S33a,S33a1341
MOVE,S33a1341,"Sideways Street",S33a,S33a13413
KEEP,S33a1351,"Upscale",S33a,S33a1351
MOVE,S33a1351,"Power Ride",S33a,S33a13513
KEEP,S33a1361,"All Sides",S33a,S33a1361
MOVE,S33a1361,"Double Machine",S33a,S33a13613
KEEP,S33a1371,"Assistant",S33a,S33a1371
MOVE,S33a1371,"Catch The News",S33a,S33a13713
KEEP,S33a1381,"Ban",S33a,S33a1381
MOVE,S33a1381,"Get Your Hats",S33a,S33a13813
KEEP,S33a1391,"Displayfull",S33a,S33a1391
MOVE,S33a1391,"The Trail",S33a,S33a13913
KEEP,S33a1401,"Division",S33a,S33a1401
MOVE,S33a1401,"Margin Of Error",S33a,S33a14013
KEEP,S33a1411,"Everything",S33a,S33a1411
MOVE,S33a1411,"Mean Streak",S33a,S33a14113
KEEP,S33a1421,"Evidence",S33a,S33a1421
MOVE,S33a1421,"Dismiss Him",S33a,S33a14213
KEEP,S33a1431,"Fight",S33a,S33a1431
MOVE,S33a1431,"People Here",S33a,S33a14313
KEEP,S33a1441,"Freedom",S33a,S33a1441
MOVE,S33a1441,"Strange Minds",S33a,S33a14413
KEEP,S33a1451,"In Any Case",S33a,S33a1451
MOVE,S33a1451,"Beneath The Skin",S33a,S33a14513
KEEP,S33a1461,"Inking",S33a,S33a1461
MOVE,S33a1461,"Melancholic Heart",S33a,S33a14613
KEEP,S33a1471,"Landmark",S33a,S33a1471
MOVE,S33a1471,"The Match",S33a,S33a14713
KEEP,S33a1481,"Long Tie",S33a,S33a1481
MOVE,S33a1481,"New Study",S33a,S33a14813
KEEP,S33a1491,"Persona",S33a,S33a1491
MOVE,S33a1491,"Different Thing",S33a,S33a14913
KEEP,S33a1501,"Power",S33a,S33a1501
MOVE,S33a1501,"Coming From It",S33a,S33a15013
KEEP,S33a1511,"Progression",S33a,S33a1511
MOVE,S33a1511,"White Snow",S33a,S33a15113
KEEP,S33a1521,"Providers",S33a,S33a1521
MOVE,S33a1521,"Another Way",S33a,S33a15213
KEEP,S33a1531,"Respect It",S33a,S33a1531
MOVE,S33a1531,"We Need It",S33a,S33a15313
KEEP,S33a1541,"Shift",S33a,S33a1541
MOVE,S33a1541,"Crystal Screwballs",S33a,S33a15413
KEEP,S33a1551,"Shock 3",S33a,S33a1551
MOVE,S33a1551,"Classic Parade",S33a,S33a15513
KEEP,S33a1561,"Storm",S33a,S33a1561
MOVE,S33a1561,"Military Drill",S33a,S33a15613
KEEP,S33a1571,"Wiretap",S33a,S33a1571
MOVE,S33a1571,"As The Story Goes",S33a,S33a15713
KEEP,S33a1581,"Storm 2",S33a,S33a1581
MOVE,S33a1581,"Hot Flames",S33a,S33a15813
KEEP,S33a1591,"Test",S33a,S33a1591
MOVE,S33a1591,"Paid Dealer",S33a,S33a15913
KEEP,S33a1601,"Wide Doors",S33a,S33a1601
MOVE,S33a1601,"Divided Powers",S33a,S33a16013
KEEP,S33a1611,"Winds",S33a,S33a1611
MOVE,S33a1611,"Cold Drink",S33a,S33a16113
KEEP,S33a1621,"Smile",S33a,S33a1621
MOVE,S33a1621,"Next Adventure",S33a,S33a16213
KEEP,S33a1631,"Supporters",S33a,S33a1631
MOVE,S33a1631,"Need Time",S33a,S33a16313
KEEP,S33a1641,"University",S33a,S33a1641
MOVE,S33a1641,"News Of The Show",S33a,S33a16413
KEEP,S33a1651,"Build It Up",S33a,S33a1651
MOVE,S33a1651,"Lips Tips",S33a,S33a16513
KEEP,S33a1661,"Fake",S33a,S33a1661
MOVE,S33a1661,"Dressed And Ready",S33a,S33a16613
KEEP,S33a1671,"Keep It 2",S33a,S33a1671
MOVE,S33a1671,"Polo Field",S33a,S33a16713
