"HAUS_ShoesAreTooBig_A_R67a","Shoes Are Too Big","Deep dish grinder","R67a0321"
"HAUS_Martyr_Dm_R67a","Martyr","Driving Rock and Roll","R67a0491"
"HAUS_TiredOfIt_Am_R67a","Tired Of It","Driving Rock and Roll","R67a0501"
"HAUS_RaspberryTimepiece_D_R67a","Raspberry Timepiece","That 60's music with the Farfisa organ, Incense and a giant bag of weed","R67a0541"
"HAUS_KillerBoots_A_R67a","Killer Boots","Groovy 60's soul and rock","R67a0551"
"HAUS_SomewhereDude_E_R67a","Somewhere Dude","Bright mid-60's rock with excellent guitar sounds","R67a0561"
"HAUS_Taxtime_D_R67a","Taxtime","Bright mid-sixties rock when pop met Psychedelic","R67a0571"
"HAUS_MisterBob_A_R67a","Mister Bob","At the corner of Beach and 60's rock","R67a0591"
"HAUS_WildGooseChase2_Am_R67a","Wild Goose Chase 2","Silly, fun americana","R67a0601"
"HAUS_IcePack_Am_R67a","Ice Pack","Driving rock","R67a0661"
"HAUS_InTheDirt_E_R67a","In The Dirt","Solid driving rock","R67a0671"
"HAUS_LongShot_A_R67a","Long Shot","Poppy and driving, like the first Police album","R67a0681"
"HAUS_Overtime_Am_R67a","Overtime","Driving rock","R67a0691"
"HAUS_PatriotGame_G_R67a","Patriot Game","Driving Rock and Roll","R67a0701"
"HAUS_RunForIt_A_R67a","Run For It","Nervous driving rock","R67a0711"
"HAUS_ShootOut_Am_R67a","Shoot Out","Driving, straight ahead rock and roll","R67a0721"
"HAUS_SundayDrivin_Am_R67a","Sunday Drivin","Thrashing rock and roll","R67a0731"
"HAUS_Tailgate_Gbm_R67a","Tailgate","Driving and grinding","R67a0741"
"HAUS_TightEnd_Em_R67a","Tight End","Grinding, grooving, and rocking","R67a0751"
"HAUS_TopDollarBet_Em_R67a","Top Dollar Bet","Grinding, funky rock track","R67a0761"
"HAUS_HotTub_Em_R67a","Hot Tub","Deep funky, rockin groove","R67a0791"
"HAUS_TankEngine_D_R67a","Tank Engine","Fast rocking southern rock","R67a1321"
"HAUS_Smashitude_E_R67a","Smashitude","Hard Rockin', Aggressive and Energetic","R67a1341"
"HAUS_OnTheCoast_E_R67a","On The Coast","Gritty, street smart, punk vibe","R67a1371"
"HAUS_IllegalUTurn_D_R67a","Illegal U Turn","Edgy, Rockin', Grungey Vibe","R67a1391"
"HAUS_RoughWater_Fsharpm_R67a","Rough Water","Confident, Upbeat Alt Rock Track","R67a1401"
"HAUS_Speakeasy2_A_R67a","Speakeasy 2","Fun, Upbeat Southern Rock Jam","R67a1411"
"HAUS_SwampAss2_D_R67a","Swamp Ass 2","Edgy and Rockin, with a Southern Rock Vibe","R67a1421"
"HAUS_TexasHeat_Fsharp_R67a","Texas Heat","Blues Rock Guitar Heaven!","R67a1431"
"HAUS_TrafficCircleConfusion_A_R67a","Traffic Circle Confusion","Hard Rockin' and Edgy \m/","R67a1441"
"HAUS_SteamyWindshield_Am_R67a","Steamy Windshield","Hey you two, Get a room already!","R67a0811"
"HAUS_Intruder_Dm_R67a","Intruder","Begins with ominous percussion and suspenseful strings, followed by the addition of a mysterious piano melody and ending with a sudden increase in tempo which creates an unsettling feeling of instability.","R67a1451"
"HAUS_LockYourDoors_Am_R67a","Lock Your Doors","Dark and mysterious orchestral dramatic tension track.","R67a1461"
"HAUS_NightDrive2_Dm_R67a","Night Drive 2","Fast paced mysterious tension track with some big orchestral hits towards the end.","R67a1471"
"HAUS_RunAway2_Dm_R67a","Run Away 2","Quietly epic","R67a1481"
"HAUS_StrangerCalls_Am_R67a","Stranger Calls","Mysterious tension track with a suspenseful piano melody and unsettling electronic elements.","R67a1491"
"HAUS_TearsOnThePhone_Am_R67a","Tears On The Phone","Mysterious piano melody combined with electronic sounds and suspenseful percussion.","R67a1501"
"HAUS_PlotThickens_Am_R67a","Plot Thickens","Mysterious piano melody combined with electronic elements.","R67a1511"
"HAUS_BloodyCrimeScene_Cm_R67a","Bloody Crime Scene","Dark and mysterious electronica with an ominous piano riff.","R67a1521"
"HAUS_FirstDegree2_Cm_R67a","First Degree 2","Dramatic tension cue with electronic elements, mysterious piano and suspenseful percussion.","R67a1531"
"HAUS_HangUp_Dm_R67a","Hang Up","Mysterious and suspenseful.","R67a1541"
"HAUS_HomeAlone_Am_R67a","Home Alone","Dramatic and mysterious with short accented strings combined with electronic elements and piano over suspenseful percussion.","R67a1551"
"HAUS_SwampBody_Cm_R67a","Swamp Body","Dark and mysterious with electric guitars, percussion and electronic elements.","R67a1561"
"HAUS_KillingTheIvories_Dm_R67a","Killing The Ivories","Quirky and very comical.","R67a1301"
"HAUS_OrganLooney_Am_R67a","Organ Looney","A humorous jazz track featuring an electric organ that turns slightly mad towards the end alongside brass instruments, guitars and percussion.","R67a1311"
"HAUS_TimeWaitsForNoMan_Gm_R67a","Time Waits For No Man","Quirky rock with Tuba","R67a1011"
"HAUS_VeganBeard_D_R67a","Vegan Beard","Fast americana with bass drum","R67a1051"
"HAUS_RoadAhead_E_R67a","Road Ahead","Southern Riff Rock with a taste of organ","R67a1061"
"HAUS_SlowYourRoll2_Gm_R67a","Slow Your Roll 2","Soulful and grinding with a beautiful harmony guitar solo","R67a1071"
"HAUS_SlowHorse_C_R67a","Slow Horse","Soulful country twanging","R67a1091"
"HAUS_WookieFromMilwaukee_D_R67a","Wookie From Milwaukee","Classic Country twanging. Let's 2 step!","R67a1101"
"HAUS_SundayBiker_Am_R67a","Sunday Biker","Southern Rock Jam with some great licks","R67a1121"
"HAUS_VelvetSnakeBite_D_R67a","Velvet Snake Bite","Hard rock with stops and starts","R67a1131"
"HAUS_Petroleum_E_R67a","Petroleum","Groovy Grunge","R67a1141"
"HAUS_ThinkTank_Ab_R67a","Think Tank","Put some distortion on that bass and LET'S GO!","R67a1151"
"HAUS_TobaccoTour_E_R67a","Tobacco Tour","Groovy classic rock with great double leads","R67a1161"
"HAUS_OddBall_Cm_R67a","Odd Ball","A bouncy a fun guitar solo surrounded by a virtual circus","R67a1181"
"HAUS_SouthernTrouble_D_R67a","Southern Trouble","Dark and mysterious desert rock","R67a1191"
"HAUS_SwampJam_D_R67a","Swamp Jam","drink your tequila from a dirty glass and lets go hunt some gators","R67a1201"
"HAUS_Tightrope2_D_R67a","Tightrope 2","late 80's rocker","R67a1241"
"HAUS_SevenTrain_Ab_R67a","Seven Train","This is definitely more of a late 80s, 90s take on hip hop with some scratching, and sampling.","R67a1571"
"HAUS_QueensBeat_Bb_R67a","Queens Beat","Synth horns, sampling and scratching make this one sound like its coming straight out of the late 80s.","R67a1591"
"HAUS_TexarkanaMud_A_R67a","Texarkana Mud","If you want to dance on the bar at Hogs 'n Heifers you have to give them your bra","R67a0991"
"HAUS_90sRun_E_R67a","90s Run","Classic American Rock from the 90's","R67a0921"
"HAUS_AgainstTheClock_E_R67a","Against The Clock","Gritty, Edgy Punk Vibe","R67a1331"
"HAUS_AlienAbduction_Gm_R67a","Alien Abduction","Dr. Spock meets his doom","R67a0971"
"HAUS_Carnie_Fm_R67a","Carnie","Classic circus music","R67a1221"
"HAUS_AmIWrong_A_R67a","Am I Wrong","Slow and deliberate rock","R67a0331"
"HAUS_AteTooMuch_Bm_R67a","Ate Too Much","Groovy, classic jam","R67a0201"
"HAUS_BackAlleyBonin_Dm_R67a","Back Alley Bonin","Struttin’, funky, slinky","R67a0801"
"HAUS_BadBBQ_E_R67a","Bad BBQ","Upbeat Blues Guitar Track","R67a0981"
"HAUS_BadDeal_Am_R67a","Bad Deal","Grindy riff rock","R67a0611"
"HAUS_BadNeighborhood_D_R67a","Bad Neighborhood","Visceral Hard Rock","R67a1351"
"HAUS_BareBones_Fsharpm_R67a","Bare Bones","A stilting lumbering drunk mess!","R67a1211"
"HAUS_BeerAndGasoline_E_R67a","Beer And Gasoline","An Edgy Rockin' Good Time","R67a1281"
"HAUS_BigFlag_Gm_R67a","Big Flag","Grinding and Driving","R67a0381"
"HAUS_BlownSpeaker_A_R67a","Blown Speaker","When your life's ambition is to blow out the speaker #guilty","R67a1361"
"HAUS_BluesWithNoName_G_R67a","Blues With No Name","Summertime, Alabama, Beers, Girls, dudes in hats...get the picture?","R67a1021"
"HAUS_BrattyKid_Em_R67a","Bratty Kid","In yo FACE! Rock and Roll","R67a0211"
"HAUS_BrokenBack_Bb_R67a","Broken Back","Grinding rock and roll jam","R67a0291"
"HAUS_CarryOnOnly_Cm_R67a","Carry On Only","Confident, Energetic, Groovin!","R67a1381"
"HAUS_ChurchAndYoung_Em_R67a","Church And Young","This is some sexy rock shit","R67a0191"
"HAUS_CleanDenim_D_R67a","Clean Denim","Acoustic guitar centers a solid rock jam","R67a1111"
"HAUS_CoinToss_A_R67a","Coin Toss","Driving and rockin","R67a0771"
"HAUS_CuckooClock_Am_R67a","Cuckoo Clock","Trippy 60's rock","R67a0511"
"HAUS_DarjeelingAndLSD_A_R67a","Darjeeling And LSD","Trippy, psychedelic, man","R67a0621"
"HAUS_Deflated_Dm_R67a","Deflated","Grinding and funky Riff Rock","R67a0631"
"HAUS_DeliberateThis_E_R67a","Deliberate This","Riffin' rock and roll","R67a1171"
"HAUS_Derailed_A_R67a","Derailed","Thrashing and Bashing rock and roll","R67a0141"
"HAUS_DessertRoad_C_R67a","Dessert Road","Distortion, riffs, Kick ass rock","R67a1081"
"HAUS_DigginDeep_E_R67a","Diggin Deep","Fast and furious Southern Rock tune with a blistering guitar solo","R67a1291"
"HAUS_DirtRoad_C_R67a","Dirt Road","Driving with someone playing banjo in the back seat","R67a1031"
"HAUS_DirtyDog2_E_R67a","Dirty Dog 2","Driving rock with a classic hard rock vibe","R67a0951"
"HAUS_DogNBone_A_R67a","Dog N Bone","Deep dish funk","R67a0781"
"HAUS_DreamRunnin_B_R67a","Dream Runnin","Rockin’ and rollin’","R67a0451"
"HAUS_DriveThruTrouble_Em_R67a","Drive Thru Trouble","Old Timey Rock and Roll","R67a0461"
"HAUS_EarlySoundcheck_Em_R67a","Early Soundcheck","Pounding and Grounding","R67a0391"
"HAUS_FatTango_Am_R67a","Fat Tango","Jazz acid guitar tango with castanets and piano","R67a1001"
"HAUS_FeelIt_E_R67a","Feel It","Classic Old Time Rocker","R67a0471"
"HAUS_FivePointz_B_R67a","Five Pointz","Late 80s hip hop with scratching, some sampling and a dark, heavy beat.","R67a1581"
"HAUS_FlightInfo_A_R67a","Flight Info","Riffy Rock and Roll","R67a0301"
"HAUS_FrankOnTheRadio_G_R67a","Frank On The Radio","Deliberate rockin music","R67a0371"
"HAUS_FuzzFiend_A_R67a","Fuzz Fiend","80s metal rocker","R67a1231"
"HAUS_GetRipped_A_R67a","Get Ripped","Thrashing and Bashing with Harmony guitars","R67a0171"
"HAUS_GetTheLedOut_A_R67a","Get The Led Out","Channeling your inner Jimmy Page.  Zeppelin inspired hard driving rock.","R67a0961"
"HAUS_GinghamPie_A_R67a","Gingham Pie","Classic southern rockin...gimme another beer!","R67a1041"
"HAUS_GoldenGatePark_Em_R67a","Golden Gate Park","Groovin with organ","R67a0581"
"HAUS_GoodbyeCalculator_Bbm_R67a","Goodbye Calculator","Grinding rock and rool","R67a0351"
"HAUS_HailMary_Am_R67a","Hail Mary","Hard, driving rock","R67a0641"
"HAUS_HelloMoon_Bb_R67a","Hello Moon","Classic 60's pop","R67a0531"
"HAUS_HellRaisin_E_R67a","Hell Raisin","Classic Rockabilly","R67a0481"
"HAUS_HeroDown_E_R67a","Hero Down","Grinding, distorted bass","R67a0651"
"HAUS_HesAShortGuy_Em_R67a","Hes A Short Guy","Spooky tense rock and roll","R67a0281"
"HAUS_KillMeBaby_Em_R67a","Kill Me Baby","Wide open American rock with ethereal guitars","R67a0931"
"HAUS_WontGiveUp_A_R67a","Wont Give Up","Driving rock with a big lead","R67a0941"
"HAUS_DirtyCop_Am_R67a","Dirty Cop","Mysterious with a side of funk!","R67a1721"
"HAUS_YesWeCan_C_R67a","Yes We Can","Groovy and Soulful 70's R&B","R67a1271"
"HAUS_SoulTub_E_R67a","Soul Tub","Upbeat, Soulful, 70's R&B","R67a1261"
"HAUS_RhythmAndShoes_A_R67a","Rhythm And Shoes","Smooth and Soulful 70's R&B","R67a1251"
"HAUS_SadSurfin_Am_R67a","Sad Surfin","Groovy Surf Track with an Edge","R67a1621"
"HAUS_SurfinFool_A_R67a","Surfin Fool","When your a fool for surfin.  Groovy surf track.","R67a1631"
"HAUS_BachataBreeze_C_R67a","Bachata Breeze","Carefree summertime music with Latin vibes.","R67a1701"
